1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881502 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881505 cmd_find_current_client: no target, return (nil)
1715353443.881512 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881515 cmd_find_current_client: no target, return (nil)
1715353443.881521 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881524 cmd_find_current_client: no target, return (nil)
1715353443.881531 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881534 cmd_find_current_client: no target, return (nil)
1715353443.881540 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881543 cmd_find_current_client: no target, return (nil)
1715353443.881548 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881551 cmd_find_current_client: no target, return (nil)
1715353443.881555 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881558 cmd_find_current_client: no target, return (nil)
1715353443.881563 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881566 cmd_find_current_client: no target, return (nil)
1715353443.881570 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881573 cmd_find_current_client: no target, return (nil)
1715353443.881578 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881580 cmd_find_current_client: no target, return (nil)
1715353443.881585 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.881589 cmd_find_current_client: no target, return (nil)
1715353443.882409 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.883055 cmd_find_current_client: no target, return (nil)
1715353443.883773 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.883780 cmd_find_current_client: no target, return (nil)
1715353443.883808 cmdq_next <global>: callback[cfg_done] (1), flags 0
1715353443.883812 cmdq_next <global>: exit (empty)
1715353443.883815 cmdq_next <global>: empty
1715353443.883894 peer 0x564c020cf680 message 107
1715353443.883899 client 0x564c020cee30 IDENTIFY_CLIENTPID 3146060
1715353443.883902 peer 0x564c020cf680 message 105
1715353443.883906 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_SHLVL=2
1715353443.883912 peer 0x564c020cf680 message 105
1715353443.883936 client 0x564c020cee30 IDENTIFY_ENVIRON LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
1715353443.883944 peer 0x564c020cf680 message 105
1715353443.883948 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_EXE=/home/irteam/anaconda3/bin/conda
1715353443.883951 peer 0x564c020cf680 message 105
1715353443.883955 client 0x564c020cee30 IDENTIFY_ENVIRON SSH_CONNECTION=210.94.221.133 61240 172.17.0.4 22
1715353443.883958 peer 0x564c020cf680 message 105
1715353443.883961 client 0x564c020cee30 IDENTIFY_ENVIRON LESSCLOSE=/usr/bin/lesspipe %s %s
1715353443.883964 peer 0x564c020cf680 message 105
1715353443.883967 client 0x564c020cee30 IDENTIFY_ENVIRON LANG=C.UTF-8
1715353443.883970 peer 0x564c020cf680 message 105
1715353443.883973 client 0x564c020cee30 IDENTIFY_ENVIRON COLORTERM=truecolor
1715353443.883975 peer 0x564c020cf680 message 105
1715353443.883979 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_PREFIX=/home/irteam/anaconda3/envs/medsegdiff
1715353443.883982 peer 0x564c020cf680 message 105
1715353443.883986 client 0x564c020cee30 IDENTIFY_ENVIRON VSCODE_GIT_ASKPASS_EXTRA_ARGS=
1715353443.883988 peer 0x564c020cf680 message 105
1715353443.883992 client 0x564c020cee30 IDENTIFY_ENVIRON _CE_M=
1715353443.883994 peer 0x564c020cf680 message 105
1715353443.883998 client 0x564c020cee30 IDENTIFY_ENVIRON USER=irteam
1715353443.884000 peer 0x564c020cf680 message 105
1715353443.884004 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_PREFIX_1=/home/irteam/anaconda3
1715353443.884007 peer 0x564c020cf680 message 105
1715353443.884010 client 0x564c020cee30 IDENTIFY_ENVIRON PWD=/home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.884013 peer 0x564c020cf680 message 105
1715353443.884016 client 0x564c020cee30 IDENTIFY_ENVIRON HOME=/home/irteam
1715353443.884018 peer 0x564c020cf680 message 105
1715353443.884022 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_PYTHON_EXE=/home/irteam/anaconda3/bin/python
1715353443.884025 peer 0x564c020cf680 message 105
1715353443.884030 client 0x564c020cee30 IDENTIFY_ENVIRON BROWSER=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/helpers/browser.sh
1715353443.884033 peer 0x564c020cf680 message 105
1715353443.884038 client 0x564c020cee30 IDENTIFY_ENVIRON VSCODE_GIT_ASKPASS_NODE=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/node
1715353443.884041 peer 0x564c020cf680 message 105
1715353443.884045 client 0x564c020cee30 IDENTIFY_ENVIRON TERM_PROGRAM=vscode
1715353443.884047 peer 0x564c020cf680 message 105
1715353443.884051 client 0x564c020cee30 IDENTIFY_ENVIRON SSH_CLIENT=210.94.221.133 61240 22
1715353443.884053 peer 0x564c020cf680 message 105
1715353443.884057 client 0x564c020cee30 IDENTIFY_ENVIRON TERM_PROGRAM_VERSION=1.89.0
1715353443.884060 peer 0x564c020cf680 message 105
1715353443.884063 client 0x564c020cee30 IDENTIFY_ENVIRON CUDA_HOME=/usr/local/cuda-10.1
1715353443.884066 peer 0x564c020cf680 message 105
1715353443.884069 client 0x564c020cee30 IDENTIFY_ENVIRON SSL_CERT_FILE=/usr/lib/ssl/certs/ca-certificates.crt
1715353443.884072 peer 0x564c020cf680 message 105
1715353443.884085 client 0x564c020cee30 IDENTIFY_ENVIRON _CE_CONDA=
1715353443.884089 peer 0x564c020cf680 message 105
1715353443.884093 client 0x564c020cee30 IDENTIFY_ENVIRON VSCODE_IPC_HOOK_CLI=/tmp/vscode-ipc-4d7039c6-7e3b-4054-9acf-5958830efa22.sock
1715353443.884096 peer 0x564c020cf680 message 105
1715353443.884100 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_PROMPT_MODIFIER=(medsegdiff) 
1715353443.884102 peer 0x564c020cf680 message 105
1715353443.884106 client 0x564c020cee30 IDENTIFY_ENVIRON MAIL=/var/mail/irteam
1715353443.884108 peer 0x564c020cf680 message 105
1715353443.884114 client 0x564c020cee30 IDENTIFY_ENVIRON VSCODE_GIT_ASKPASS_MAIN=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/extensions/git/dist/askpass-main.js
1715353443.884117 peer 0x564c020cf680 message 105
1715353443.884120 client 0x564c020cee30 IDENTIFY_ENVIRON TERM=xterm-256color
1715353443.884123 peer 0x564c020cf680 message 105
1715353443.884126 client 0x564c020cee30 IDENTIFY_ENVIRON SHELL=/bin/bash
1715353443.884128 peer 0x564c020cf680 message 105
1715353443.884132 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_ROOT=/home/irteam/anaconda3
1715353443.884134 peer 0x564c020cf680 message 105
1715353443.884137 client 0x564c020cee30 IDENTIFY_ENVIRON SHLVL=4
1715353443.884140 peer 0x564c020cf680 message 105
1715353443.884144 client 0x564c020cee30 IDENTIFY_ENVIRON LANGUAGE=ko_KR:ko:en_GB:en
1715353443.884146 peer 0x564c020cf680 message 105
1715353443.884150 client 0x564c020cee30 IDENTIFY_ENVIRON VSCODE_GIT_IPC_HANDLE=/tmp/vscode-git-9b20760d84.sock
1715353443.884153 peer 0x564c020cf680 message 105
1715353443.884156 client 0x564c020cee30 IDENTIFY_ENVIRON SSL_CERT_DIR=/usr/lib/ssl/certs
1715353443.884159 peer 0x564c020cf680 message 105
1715353443.884162 client 0x564c020cee30 IDENTIFY_ENVIRON LOGNAME=irteam
1715353443.884165 peer 0x564c020cf680 message 105
1715353443.884170 client 0x564c020cee30 IDENTIFY_ENVIRON GIT_ASKPASS=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/extensions/git/dist/askpass.sh
1715353443.884173 peer 0x564c020cf680 message 105
1715353443.884191 client 0x564c020cee30 IDENTIFY_ENVIRON PATH=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/envs/medsegdiff/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/bin/python3.9:/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
1715353443.884194 peer 0x564c020cf680 message 105
1715353443.884200 client 0x564c020cee30 IDENTIFY_ENVIRON PS1=\\[\033]633;A\a\\](medsegdiff) (base) \\[\\e]0;\\u@\\h: \\w\\a\\]${debian_chroot:+($debian_chroot)}\\[\\033[01;32m\\]\\u@\\h\\[\\033[00m\\]:\\[\\033[01;34m\\]\\w\\[\\033[00m\\]\\$ \\[\033]633;B\a\\]
1715353443.884203 peer 0x564c020cf680 message 105
1715353443.884206 client 0x564c020cee30 IDENTIFY_ENVIRON CONDA_DEFAULT_ENV=medsegdiff
1715353443.884209 peer 0x564c020cf680 message 105
1715353443.884213 client 0x564c020cee30 IDENTIFY_ENVIRON LESSOPEN=| /usr/bin/lesspipe %s
1715353443.884216 peer 0x564c020cf680 message 105
1715353443.884219 client 0x564c020cee30 IDENTIFY_ENVIRON _=/usr/bin/tmux
1715353443.884221 peer 0x564c020cf680 message 105
1715353443.884225 client 0x564c020cee30 IDENTIFY_ENVIRON EVENT_NOEPOLL=1
1715353443.884227 peer 0x564c020cf680 message 106
1715353443.884230 client 0x564c020cee30 name is /dev/pts/25
1715353443.884239 tty_resize: /dev/pts/25 now 251x22
1715353443.884242 peer 0x564c020cf680 message 200
1715353443.884248 cmdq_next <global>: empty
1715353443.884251 cmdq_next <0x564c020cee30>: enter
1715353443.884254 cmdq_next <0x564c020cee30>: callback[cfg_client_done] (1), flags 0
1715353443.884258 unref client 0x564c020cee30 (4 references)
1715353443.884262 cmdq_next <0x564c020cee30>: command[new-session] (0), flags 0
1715353443.884265 cmd_find_target: target none, type session
1715353443.884268 cmd_find_target: item 0x564c020aaba0, flags 0x42
1715353443.884271 cmd_find_target: error
1715353443.884275 new term: xterm-256color
1715353443.884408 xterm-256color override: XT=
1715353443.885198 xterm-256color override: Ms=\033]52;%p1%s;%p2%s\a
1715353443.885209 xterm-256color override: Cs=\033]12;%p1%s\a
1715353443.885218 xterm-256color override: Cr=\033]112\a
1715353443.885226 xterm-256color override: Ss=\033[%p1%d q
1715353443.885234 xterm-256color override: Se=\033[2 q
1715353443.885247 xterm-256color   0: AX: (flag) true
1715353443.885256 xterm-256color   1: acsc: (string) ``aaffggiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~
1715353443.885263 xterm-256color   2: bce: (flag) true
1715353443.885269 xterm-256color   3: bel: (string) \\007
1715353443.885276 xterm-256color   4: blink: (string) \\033[5m
1715353443.885283 xterm-256color   5: bold: (string) \\033[1m
1715353443.885290 xterm-256color   6: civis: (string) \\033[?25l
1715353443.885296 xterm-256color   7: clear: (string) \\033[H\\033[2J
1715353443.885303 xterm-256color   8: cnorm: (string) \\033[?12l\\033[?25h
1715353443.885310 xterm-256color   9: colors: (number) 256
1715353443.885317 xterm-256color  10: Cr: (string) \\033]112\\007
1715353443.885323 xterm-256color  11: Cs: (string) \\033]12;%p1%s\\007
1715353443.885331 xterm-256color  12: csr: (string) \\033[%i%p1%d;%p2%dr
1715353443.885338 xterm-256color  13: cub: (string) \\033[%p1%dD
1715353443.885344 xterm-256color  14: cub1: (string) \\010
1715353443.885350 xterm-256color  15: cud: (string) \\033[%p1%dB
1715353443.885356 xterm-256color  16: cud1: (string) \\012
1715353443.885362 xterm-256color  17: cuf: (string) \\033[%p1%dC
1715353443.885368 xterm-256color  18: cuf1: (string) \\033[C
1715353443.885375 xterm-256color  19: cup: (string) \\033[%i%p1%d;%p2%dH
1715353443.885381 xterm-256color  20: cuu: (string) \\033[%p1%dA
1715353443.885388 xterm-256color  21: cuu1: (string) \\033[A
1715353443.885395 xterm-256color  22: cvvis: (string) \\033[?12;25h
1715353443.885401 xterm-256color  23: dch: (string) \\033[%p1%dP
1715353443.885408 xterm-256color  24: dch1: (string) \\033[P
1715353443.885413 xterm-256color  25: dim: (string) \\033[2m
1715353443.885419 xterm-256color  26: dl: (string) \\033[%p1%dM
1715353443.885425 xterm-256color  27: dl1: (string) \\033[M
1715353443.885432 xterm-256color  28: E3: (string) \\033[3J
1715353443.885438 xterm-256color  29: ech: (string) \\033[%p1%dX
1715353443.885445 xterm-256color  30: ed: (string) \\033[J
1715353443.885451 xterm-256color  31: el: (string) \\033[K
1715353443.885457 xterm-256color  32: el1: (string) \\033[1K
1715353443.885463 xterm-256color  33: enacs: [missing]
1715353443.885469 xterm-256color  34: fsl: (string) \\007
1715353443.885475 xterm-256color  35: home: (string) \\033[H
1715353443.885481 xterm-256color  36: hpa: (string) \\033[%i%p1%dG
1715353443.885488 xterm-256color  37: ich: (string) \\033[%p1%d@
1715353443.885494 xterm-256color  38: ich1: [missing]
1715353443.885501 xterm-256color  39: il: (string) \\033[%p1%dL
1715353443.885507 xterm-256color  40: il1: (string) \\033[L
1715353443.885513 xterm-256color  41: indn: (string) \\033[%p1%dS
1715353443.885519 xterm-256color  42: invis: (string) \\033[8m
1715353443.885525 xterm-256color  43: kcbt: (string) \\033[Z
1715353443.885531 xterm-256color  44: kcub1: (string) \\033OD
1715353443.885538 xterm-256color  45: kcud1: (string) \\033OB
1715353443.885544 xterm-256color  46: kcuf1: (string) \\033OC
1715353443.885550 xterm-256color  47: kcuu1: (string) \\033OA
1715353443.885556 xterm-256color  48: kDC: (string) \\033[3;2~
1715353443.885567 xterm-256color  49: kDC3: (string) \\033[3;3~
1715353443.885573 xterm-256color  50: kDC4: (string) \\033[3;4~
1715353443.885579 xterm-256color  51: kDC5: (string) \\033[3;5~
1715353443.885585 xterm-256color  52: kDC6: (string) \\033[3;6~
1715353443.885592 xterm-256color  53: kDC7: (string) \\033[3;7~
1715353443.885598 xterm-256color  54: kdch1: (string) \\033[3~
1715353443.885604 xterm-256color  55: kDN: (string) \\033[1;2B
1715353443.885611 xterm-256color  56: kDN3: (string) \\033[1;3B
1715353443.885617 xterm-256color  57: kDN4: (string) \\033[1;4B
1715353443.885622 xterm-256color  58: kDN5: (string) \\033[1;5B
1715353443.885628 xterm-256color  59: kDN6: (string) \\033[1;6B
1715353443.885634 xterm-256color  60: kDN7: (string) \\033[1;7B
1715353443.885641 xterm-256color  61: kend: (string) \\033OF
1715353443.885647 xterm-256color  62: kEND: (string) \\033[1;2F
1715353443.885653 xterm-256color  63: kEND3: (string) \\033[1;3F
1715353443.885659 xterm-256color  64: kEND4: (string) \\033[1;4F
1715353443.885665 xterm-256color  65: kEND5: (string) \\033[1;5F
1715353443.885671 xterm-256color  66: kEND6: (string) \\033[1;6F
1715353443.885677 xterm-256color  67: kEND7: (string) \\033[1;7F
1715353443.885695 xterm-256color  68: kf1: (string) \\033OP
1715353443.885698 xterm-256color  69: kf10: (string) \\033[21~
1715353443.885701 xterm-256color  70: kf11: (string) \\033[23~
1715353443.885704 xterm-256color  71: kf12: (string) \\033[24~
1715353443.885706 xterm-256color  72: kf13: (string) \\033[1;2P
1715353443.885709 xterm-256color  73: kf14: (string) \\033[1;2Q
1715353443.885712 xterm-256color  74: kf15: (string) \\033[1;2R
1715353443.885714 xterm-256color  75: kf16: (string) \\033[1;2S
1715353443.885717 xterm-256color  76: kf17: (string) \\033[15;2~
1715353443.885720 xterm-256color  77: kf18: (string) \\033[17;2~
1715353443.885723 xterm-256color  78: kf19: (string) \\033[18;2~
1715353443.885726 xterm-256color  79: kf2: (string) \\033OQ
1715353443.885728 xterm-256color  80: kf20: (string) \\033[19;2~
1715353443.885731 xterm-256color  81: kf21: (string) \\033[20;2~
1715353443.885734 xterm-256color  82: kf22: (string) \\033[21;2~
1715353443.885736 xterm-256color  83: kf23: (string) \\033[23;2~
1715353443.885739 xterm-256color  84: kf24: (string) \\033[24;2~
1715353443.885742 xterm-256color  85: kf25: (string) \\033[1;5P
1715353443.885745 xterm-256color  86: kf26: (string) \\033[1;5Q
1715353443.885748 xterm-256color  87: kf27: (string) \\033[1;5R
1715353443.885750 xterm-256color  88: kf28: (string) \\033[1;5S
1715353443.885753 xterm-256color  89: kf29: (string) \\033[15;5~
1715353443.885758 xterm-256color  90: kf3: (string) \\033OR
1715353443.885761 xterm-256color  91: kf30: (string) \\033[17;5~
1715353443.885764 xterm-256color  92: kf31: (string) \\033[18;5~
1715353443.885767 xterm-256color  93: kf32: (string) \\033[19;5~
1715353443.885770 xterm-256color  94: kf33: (string) \\033[20;5~
1715353443.885773 xterm-256color  95: kf34: (string) \\033[21;5~
1715353443.885775 xterm-256color  96: kf35: (string) \\033[23;5~
1715353443.885778 xterm-256color  97: kf36: (string) \\033[24;5~
1715353443.885781 xterm-256color  98: kf37: (string) \\033[1;6P
1715353443.885783 xterm-256color  99: kf38: (string) \\033[1;6Q
1715353443.885786 xterm-256color 100: kf39: (string) \\033[1;6R
1715353443.885790 xterm-256color 101: kf4: (string) \\033OS
1715353443.885792 xterm-256color 102: kf40: (string) \\033[1;6S
1715353443.885795 xterm-256color 103: kf41: (string) \\033[15;6~
1715353443.885798 xterm-256color 104: kf42: (string) \\033[17;6~
1715353443.885806 xterm-256color 105: kf43: (string) \\033[18;6~
1715353443.886480 xterm-256color 106: kf44: (string) \\033[19;6~
1715353443.886487 xterm-256color 107: kf45: (string) \\033[20;6~
1715353443.886493 xterm-256color 108: kf46: (string) \\033[21;6~
1715353443.886501 xterm-256color 109: kf47: (string) \\033[23;6~
1715353443.886508 xterm-256color 110: kf48: (string) \\033[24;6~
1715353443.886515 xterm-256color 111: kf49: (string) \\033[1;3P
1715353443.886521 xterm-256color 112: kf5: (string) \\033[15~
1715353443.886531 xterm-256color 113: kf50: (string) \\033[1;3Q
1715353443.886537 xterm-256color 114: kf51: (string) \\033[1;3R
1715353443.886544 xterm-256color 115: kf52: (string) \\033[1;3S
1715353443.886549 xterm-256color 116: kf53: (string) \\033[15;3~
1715353443.886556 xterm-256color 117: kf54: (string) \\033[17;3~
1715353443.886563 xterm-256color 118: kf55: (string) \\033[18;3~
1715353443.886569 xterm-256color 119: kf56: (string) \\033[19;3~
1715353443.886575 xterm-256color 120: kf57: (string) \\033[20;3~
1715353443.886581 xterm-256color 121: kf58: (string) \\033[21;3~
1715353443.886587 xterm-256color 122: kf59: (string) \\033[23;3~
1715353443.886593 xterm-256color 123: kf6: (string) \\033[17~
1715353443.886599 xterm-256color 124: kf60: (string) \\033[24;3~
1715353443.886606 xterm-256color 125: kf61: (string) \\033[1;4P
1715353443.886612 xterm-256color 126: kf62: (string) \\033[1;4Q
1715353443.886619 xterm-256color 127: kf63: (string) \\033[1;4R
1715353443.886625 xterm-256color 128: kf7: (string) \\033[18~
1715353443.886631 xterm-256color 129: kf8: (string) \\033[19~
1715353443.886637 xterm-256color 130: kf9: (string) \\033[20~
1715353443.886643 xterm-256color 131: kHOM: (string) \\033[1;2H
1715353443.886649 xterm-256color 132: kHOM3: (string) \\033[1;3H
1715353443.886656 xterm-256color 133: kHOM4: (string) \\033[1;4H
1715353443.886663 xterm-256color 134: kHOM5: (string) \\033[1;5H
1715353443.886669 xterm-256color 135: kHOM6: (string) \\033[1;6H
1715353443.886675 xterm-256color 136: kHOM7: (string) \\033[1;7H
1715353443.886681 xterm-256color 137: khome: (string) \\033OH
1715353443.886687 xterm-256color 138: kIC: (string) \\033[2;2~
1715353443.886693 xterm-256color 139: kIC3: (string) \\033[2;3~
1715353443.886699 xterm-256color 140: kIC4: (string) \\033[2;4~
1715353443.886706 xterm-256color 141: kIC5: (string) \\033[2;5~
1715353443.886712 xterm-256color 142: kIC6: (string) \\033[2;6~
1715353443.886719 xterm-256color 143: kIC7: (string) \\033[2;7~
1715353443.886725 xterm-256color 144: kich1: (string) \\033[2~
1715353443.886731 xterm-256color 145: kind: (string) \\033[1;2B
1715353443.886737 xterm-256color 146: kLFT: (string) \\033[1;2D
1715353443.886743 xterm-256color 147: kLFT3: (string) \\033[1;3D
1715353443.886749 xterm-256color 148: kLFT4: (string) \\033[1;4D
1715353443.886756 xterm-256color 149: kLFT5: (string) \\033[1;5D
1715353443.886762 xterm-256color 150: kLFT6: (string) \\033[1;6D
1715353443.886769 xterm-256color 151: kLFT7: (string) \\033[1;7D
1715353443.886775 xterm-256color 152: kmous: (string) \\033[M
1715353443.886781 xterm-256color 153: knp: (string) \\033[6~
1715353443.886787 xterm-256color 154: kNXT: (string) \\033[6;2~
1715353443.886804 xterm-256color 155: kNXT3: (string) \\033[6;3~
1715353443.886807 xterm-256color 156: kNXT4: (string) \\033[6;4~
1715353443.886810 xterm-256color 157: kNXT5: (string) \\033[6;5~
1715353443.886812 xterm-256color 158: kNXT6: (string) \\033[6;6~
1715353443.886815 xterm-256color 159: kNXT7: (string) \\033[6;7~
1715353443.886818 xterm-256color 160: kpp: (string) \\033[5~
1715353443.886821 xterm-256color 161: kPRV: (string) \\033[5;2~
1715353443.886823 xterm-256color 162: kPRV3: (string) \\033[5;3~
1715353443.886826 xterm-256color 163: kPRV4: (string) \\033[5;4~
1715353443.886828 xterm-256color 164: kPRV5: (string) \\033[5;5~
1715353443.886831 xterm-256color 165: kPRV6: (string) \\033[5;6~
1715353443.886834 xterm-256color 166: kPRV7: (string) \\033[5;7~
1715353443.886837 xterm-256color 167: kri: (string) \\033[1;2A
1715353443.886840 xterm-256color 168: kRIT: (string) \\033[1;2C
1715353443.886843 xterm-256color 169: kRIT3: (string) \\033[1;3C
1715353443.886845 xterm-256color 170: kRIT4: (string) \\033[1;4C
1715353443.886848 xterm-256color 171: kRIT5: (string) \\033[1;5C
1715353443.886851 xterm-256color 172: kRIT6: (string) \\033[1;6C
1715353443.886854 xterm-256color 173: kRIT7: (string) \\033[1;7C
1715353443.886857 xterm-256color 174: kUP: (string) \\033[1;2A
1715353443.886859 xterm-256color 175: kUP3: (string) \\033[1;3A
1715353443.886862 xterm-256color 176: kUP4: (string) \\033[1;4A
1715353443.886867 xterm-256color 177: kUP5: (string) \\033[1;5A
1715353443.886870 xterm-256color 178: kUP6: (string) \\033[1;6A
1715353443.886873 xterm-256color 179: kUP7: (string) \\033[1;7A
1715353443.886876 xterm-256color 180: Ms: (string) \\033]52;%p1%s;%p2%s\\007
1715353443.886879 xterm-256color 181: op: (string) \\033[39;49m
1715353443.886882 xterm-256color 182: rev: (string) \\033[7m
1715353443.886885 xterm-256color 183: ri: (string) \\033M
1715353443.886888 xterm-256color 184: rmacs: (string) \\033(B
1715353443.886891 xterm-256color 185: rmcup: (string) \\033[?1049l\\033[23;0;0t
1715353443.886895 xterm-256color 186: rmkx: (string) \\033[?1l\\033>
1715353443.886897 xterm-256color 187: Se: (string) \\033[2 q
1715353443.886902 xterm-256color 188: setab: (string) \\033[%?%p1%{8}%<%t4%p1%d%e%p1%{16}%<%t10%p1%{8}%-%d%e48;5;%p1%d%;m
1715353443.886907 xterm-256color 189: setaf: (string) \\033[%?%p1%{8}%<%t3%p1%d%e%p1%{16}%<%t9%p1%{8}%-%d%e38;5;%p1%d%;m
1715353443.886910 xterm-256color 190: setrgbb: [missing]
1715353443.886912 xterm-256color 191: setrgbf: [missing]
1715353443.886915 xterm-256color 192: sgr0: (string) \\033(B\\033[m
1715353443.886918 xterm-256color 193: sitm: (string) \\033[3m
